,related_author,simrank
0,88854,0.07333915655448713
1,88870,0.02258155482367161
2,88871,0.02258155482367161
3,88853,0.016187077944982378
4,151699,0.01144935983750177
5,151700,0.01144935983750177
6,151698,0.01144935983750177
7,103250,0.011042636806103628
8,103248,0.011042636806103628
9,103249,0.011042636806103628
10,103210,0.01073762123394792
11,107080,0.004959005521065158
12,1059,0.004665153891602204
13,108067,0.004470721135538407
14,108069,0.004470721135538407
15,96718,0.004074704449770671
16,96716,0.004074704449770671
17,1058,0.003606360907783645
18,103251,0.0035148660409367754
19,103253,0.0035148660409367754
20,103252,0.0035148660409367754
21,103254,0.0035148660409367754
22,103255,0.0032079331540572006
23,103256,0.0032079331540572006
24,103257,0.0032079331540572006
25,88778,0.0030630295572078776
26,735272,0.00303309501672614
27,735271,0.00303309501672614
28,735270,0.00303309501672614
29,103207,0.0030026650753881626
30,103208,0.0030026650753881626
31,103209,0.0030026650753881626
32,88775,0.0029076193139036897
33,88776,0.0029076193139036897
34,88777,0.0029076193139036897
35,84886,0.002355089705799153
36,33180,0.0022507912703669353
37,6977,0.0022496489245187436
38,108070,0.0021799924661722774
39,159557,0.0021266405415587323
40,160889,0.0021266405415587323
41,159555,0.0021266405415587323
42,159559,0.0021266405415587323
43,159560,0.0021266405415587323
44,160892,0.0021266405415587323
45,160894,0.0021266405415587323
46,160890,0.0021266405415587323
47,159558,0.0021266405415587323
48,160893,0.0021266405415587323
49,158099,0.0021081233694582443
50,96714,0.0019665810803124266
51,107574,0.0016027952923954004
52,100059,0.0014507909578128449
53,102202,0.0014321395093279553
54,139671,0.0012581741255251898
55,139669,0.0012581741255251898
56,139672,0.0012581741255251898
57,139670,0.0012581741255251898
58,88774,0.0011451354491337907
59,88772,0.0011451354491337907
60,88773,0.0011451354491337907
61,108182,0.0006257010546884704
62,108071,0.0005733081045438545
63,2433,0.00046668040653055816
64,108185,0.00042250922807473884
65,108183,0.00040808297075232064
66,108184,0.00040808297075232064
67,24298,0.0003454420649348158
68,24299,0.0003454420649348158
69,107577,0.00034462116687021077
70,107576,0.00034462116687021077
71,11723,0.0003414969831156874
72,11725,0.0003414969831156874
73,108042,0.00032640392217864726
74,108043,0.00032640392217864726
75,31553,0.0002628027093669447
76,31552,0.0002506155941723146
77,31551,0.0002506155941723146
78,731611,0.00025016978321387116
79,731612,0.00023538677717410136
80,81537,0.0002089521314939853
81,15585,0.00019879367845580505
82,143691,0.000189821388825623
83,143693,0.000189821388825623
84,143696,0.000189821388825623
85,143695,0.000189821388825623
86,143698,0.000189821388825623
87,161655,0.00018797737716232793
88,736419,0.00018246489424966994
89,736416,0.00018246489424966994
90,736418,0.00018246489424966994
91,1727,0.0001818777900489746
92,102203,0.00017396538380276563
93,102201,0.00017396538380276563
94,102200,0.00017396538380276563
95,107575,0.00017231058343510539
96,140829,0.00017231058343510539
97,33179,0.00016687915091488864
98,33177,0.00016687915091488864
99,107074,0.0001621883765383913
100,107073,0.0001621883765383913
101,107071,0.0001621883765383913
102,107072,0.0001621883765383913
103,724323,0.0001621290469087039
104,6783,0.00015852705328430668
105,143697,0.0001554102433041878
106,143692,0.0001554102433041878
107,143694,0.0001554102433041878
108,724321,0.00015230475866295865
109,724322,0.00015230475866295865
110,156551,0.00015065768488899857
111,156553,0.00015065768488899857
112,156554,0.00015065768488899857
113,156552,0.00015065768488899857
114,107025,0.00013886865866831436
115,107026,0.00013886865866831436
116,6975,0.00013392959570602536
117,86971,0.00013069592650600487
118,86973,0.00013069592650600487
119,86970,0.00013069592650600487
120,733039,9.398868858116397e-05
121,161653,9.398868858116397e-05
122,161657,9.398868858116397e-05
123,733043,9.398868858116397e-05
124,733042,9.398868858116397e-05
125,161656,9.398868858116397e-05
126,733041,9.398868858116397e-05
127,161654,9.398868858116397e-05
128,86968,8.526418020832334e-05
129,86969,8.526418020832334e-05
130,86974,8.485469189958716e-05
131,86975,8.485469189958716e-05
132,84883,8.094911875650975e-05
133,108088,7.262036425513427e-05
134,108089,7.262036425513427e-05
135,107972,7.131489402959173e-05
136,84885,6.983532181839353e-05
137,84884,6.983532181839353e-05
138,84882,6.983532181839353e-05
139,84881,6.983532181839353e-05
140,86987,6.574814194433784e-05
141,86988,6.574814194433784e-05
142,153838,3.4411145521435207e-05
143,153837,3.4411145521435207e-05
144,153840,3.4411145521435207e-05
145,153839,3.4411145521435207e-05
146,153845,3.4411145521435207e-05
147,15584,3.191452754091642e-05
148,174077,3.1084263507026165e-05
149,174076,3.092517244071496e-05
150,174078,2.9319113110771964e-05
151,174075,2.9163676700278703e-05
152,143386,2.3916171600934552e-05
153,174091,2.2737692768335613e-05
154,731614,1.957820063078923e-05
155,731613,1.957820063078923e-05
156,731615,1.77686932379517e-05
157,86955,1.7602023786017523e-05
158,107024,1.6547000762975315e-05
159,107023,1.621611941114217e-05
160,107022,1.621611941114217e-05
161,36808,1.5391327931931547e-05
162,742351,1.4426257322418202e-05
163,742348,1.4426257322418202e-05
164,742349,1.4426257322418202e-05
165,742347,1.4426257322418202e-05
166,174088,1.3589701660218932e-05
167,101177,1.2890812514066942e-05
168,174092,1.2843718166366164e-05
169,138881,1.2187115194630126e-05
170,138883,1.2187115194630126e-05
171,138882,1.2187115194630126e-05
172,138885,1.2187115194630126e-05
